model,log_loss,accuracy,balanced_accuracy,macro_f1
xgboost,1.8292894450677848,0.3968161476785381,0.11085807802816362,0.08576178875668082
calibrated_blend,1.8369987917373551,0.3956507551743427,0.11045541415212085,0.0851629482318741
sgd_logistic,1.8469251789134167,0.39290042886444154,0.10915591651610558,0.08386522547407105
baseline_prior,1.8767230517119864,0.39259742681335075,0.10882129851833695,0.0835216845305121
